Date,Campaign,Campaign Type,Impressions,Clicks,Conversions,Revenue,Cost,Region,AdCreative
01/01/23,TikTok,Prospecting,79181,1636,228,"$7,780.53","$1,856.48",East Midlands,CreativeA
01/01/23,Instagram,Retargeting,21533,1033,241,"$1,036.57","$3,720.96",North West,CreativeA
01/01/23,SnapChat,Prospecting,17571,405,17,"$9,566.23",$605.33,East of England,CreativeB
01/01/23,SnapChat,Retargeting,52782,3376,131,"$7,377.02","$5,681.92",East Midlands,CreativeB
01/01/23,TikTok,Retargeting,43104,2175,18,$837.80,"$8,192.39",Northern Ireland,CreativeA
01/01/23,SnapChat,Prospecting,30045,1152,25,"$5,717.10","$3,344.27",East of England,CreativeB
01/01/23,SnapChat,Prospecting,33937,2969,54,"$1,219.32",$596.23,Yorkshire and the Humber,CreativeA
01/01/23,Facebook,Retargeting,4762,1485,220,"$11,284.85","$2,718.30",Wales,CreativeC
01/01/23,TikTok,Retargeting,81736,2299,50,"$1,764.13","$5,919.09",South East,CreativeA
01/01/23,YouTube,Prospecting,77773,229,25,"$1,027.64","$2,217.59",Northern Ireland,CreativeC
01/01/23,TikTok,Retargeting,26503,700,69,"$11,503.58","$2,906.22",London,CreativeC
01/01/23,YouTube,Prospecting,32771,3086,50,"$9,838.18","$1,478.44",North West,CreativeC
01/01/23,Facebook,Prospecting,42040,1337,182,"$3,581.44","$4,749.80",Northern Ireland,CreativeB
01/01/23,Instagram,Retargeting,67654,983,10,"$10,136.35","$4,130.90",London,CreativeB
01/01/23,SnapChat,Retargeting,61485,3414,12,"$13,075.18",$700.44,North West,CreativeA
01/01/23,Facebook,Retargeting,47790,784,244,"$3,820.08","$4,844.53",North West,CreativeB
01/01/23,SnapChat,Retargeting,76036,3261,60,"$7,170.67",$450.84,East of England,CreativeA
01/01/23,Instagram,Prospecting,74172,7,176,"$8,330.09","$1,360.11",Wales,CreativeC
01/01/23,Instagram,Retargeting,97621,2251,144,"$15,016.17","$1,696.61",North East,CreativeA
01/01/23,Facebook,Prospecting,58314,198,230,"$12,887.81","$5,702.38",North West,CreativeB
01/01/23,Instagram,Prospecting,25283,666,220,"$7,799.74","$4,282.89",East of England,CreativeA
01/01/23,YouTube,Retargeting,15695,1694,22,"$8,830.21","$2,628.42",Yorkshire and the Humber,CreativeA
01/01/23,Instagram,Prospecting,65353,1649,45,"$8,045.54",$350.22,London,CreativeA
01/01/23,SnapChat,Retargeting,23961,3159,19,"$3,166.46",$552.20,Northern Ireland,CreativeB
01/01/23,SnapChat,Retargeting,2643,481,46,"$3,348.94",$707.24,East Midlands,CreativeC
01/01/23,SnapChat,Prospecting,32260,1472,44,"$7,839.05","$1,063.61",Scotland,CreativeA
01/01/23,SnapChat,Prospecting,75703,1785,29,"$12,523.99","$2,863.64",Wales,CreativeA
01/01/23,YouTube,Prospecting,9862,3355,65,"$10,586.36","$4,036.88",West Midlands,CreativeA
01/01/23,TikTok,Retargeting,61438,622,71,$795.53,"$3,826.54",Scotland,CreativeC
01/01/23,Facebook,Retargeting,9944,1078,14,"$4,499.37","$3,386.48",East of England,CreativeB
01/01/23,SnapChat,Prospecting,38519,2697,35,"$12,197.37","$5,783.88",Scotland,CreativeB
01/01/23,Instagram,Retargeting,41575,334,24,"$11,678.93","$6,329.14",North West,CreativeB
01/01/23,SnapChat,Retargeting,32914,1030,88,"$6,272.28","$3,431.05",North East,CreativeC
01/01/23,Instagram,Prospecting,15052,2396,216,"$12,852.58","$2,931.58",East Midlands,CreativeC
01/01/23,Instagram,Retargeting,60779,1376,137,"$2,738.51",$416.91,Wales,CreativeB
02/01/23,Instagram,Prospecting,3056,158,252,"$15,021.77","$1,102.01",North East,CreativeB
02/01/23,Facebook,Prospecting,40491,198,233,"$14,308.31","$2,187.76",North East,CreativeA
02/01/23,TikTok,Retargeting,51173,2223,47,"$4,549.58","$3,967.90",Northern Ireland,CreativeB
02/01/23,TikTok,Retargeting,49911,252,74,"$1,431.33","$1,193.59",South West,CreativeA
02/01/23,Facebook,Retargeting,79854,1531,73,"$13,517.68","$5,746.31",Wales,CreativeA
02/01/23,YouTube,Retargeting,80086,310,13,"$9,628.96","$2,419.42",South East,CreativeC
02/01/23,Facebook,Retargeting,4939,1410,105,"$6,352.28","$1,037.82",South West,CreativeA
02/01/23,Instagram,Retargeting,25424,2045,204,"$4,275.10","$2,275.87",West Midlands,CreativeC
02/01/23,Facebook,Prospecting,49625,1465,112,"$1,150.02","$3,046.74",Yorkshire and the Humber,CreativeB
02/01/23,TikTok,Retargeting,4444,704,56,"$6,616.90","$2,031.12",Yorkshire and the Humber,CreativeC
02/01/23,Facebook,Prospecting,49466,1711,57,"$10,827.75",$204.97,East Midlands,CreativeC
02/01/23,YouTube,Prospecting,2471,423,32,"$5,480.08","$6,536.87",North East,CreativeA
02/01/23,SnapChat,Retargeting,63971,1831,194,"$7,871.46","$2,912.20",West Midlands,CreativeA
02/01/23,Facebook,Prospecting,14177,1676,30,"$8,471.25","$1,327.82",East of England,CreativeB
02/01/23,YouTube,Retargeting,73587,3668,178,"$1,800.65","$7,242.62",South West,CreativeC
02/01/23,YouTube,Prospecting,65305,3418,135,"$3,271.06",$803.15,Northern Ireland,CreativeA
02/01/23,TikTok,Retargeting,7600,2499,140,"$8,630.53","$3,544.01",East of England,CreativeA
02/01/23,YouTube,Prospecting,94193,370,58,"$2,018.80","$2,190.99",London,CreativeA
02/01/23,YouTube,Retargeting,96335,584,11,"$10,469.33","$6,163.44",West Midlands,CreativeC
02/01/23,YouTube,Prospecting,68928,3273,85,"$4,655.12","$3,312.21",East Midlands,CreativeA
02/01/23,YouTube,Retargeting,16729,2162,30,"$5,637.39",$140.36,East Midlands,CreativeA
02/01/23,Instagram,Prospecting,41693,2400,39,"$1,726.47","$2,229.22",Scotland,CreativeC
02/01/23,Instagram,Prospecting,66156,2375,11,"$6,002.89","$3,068.78",South East,CreativeA
02/01/23,TikTok,Prospecting,86621,2605,15,"$9,687.31",$473.60,South West,CreativeA
02/01/23,Facebook,Retargeting,30269,1250,8,"$3,881.77","$2,598.79",Scotland,CreativeC
02/01/23,YouTube,Retargeting,76431,2369,13,"$4,893.40",$227.98,Scotland,CreativeC
02/01/23,Facebook,Retargeting,14604,82,10,"$11,433.87","$3,405.96",Wales,CreativeB
02/01/23,Facebook,Retargeting,55956,110,34,"$4,137.90","$3,508.86",Northern Ireland,CreativeC
02/01/23,TikTok,Retargeting,12370,461,27,"$11,343.88","$3,449.20",North West,CreativeA
02/01/23,YouTube,Prospecting,68085,2902,54,"$4,580.35","$1,394.61",South West,CreativeA
02/01/23,YouTube,Retargeting,81621,3961,14,"$9,553.37","$1,537.04",West Midlands,CreativeC
02/01/23,SnapChat,Retargeting,50014,3047,42,"$5,785.82","$1,126.85",North West,CreativeC
02/01/23,Facebook,Prospecting,17476,1488,209,"$9,017.86","$3,433.37",Northern Ireland,CreativeC
02/01/23,Facebook,Retargeting,65018,45,39,"$4,765.73",$928.53,Wales,CreativeB
02/01/23,Instagram,Retargeting,43667,2059,76,"$2,229.87","$2,245.23",East Midlands,CreativeB
02/01/23,SnapChat,Retargeting,3882,2423,42,"$10,879.94","$5,222.20",East Midlands,CreativeC
02/01/23,Instagram,Retargeting,52940,922,162,"$15,128.79","$1,018.15",London,CreativeA
02/01/23,Instagram,Retargeting,68777,1584,266,"$13,192.16","$2,920.16",North West,CreativeA
02/01/23,Instagram,Retargeting,33518,2203,46,"$7,323.49","$4,626.94",North West,CreativeB
02/01/23,TikTok,Prospecting,8416,2678,56,"$3,968.02","$1,694.06",Yorkshire and the Humber,CreativeC
02/01/23,TikTok,Retargeting,69782,188,54,"$4,474.92","$1,732.03",East Midlands,CreativeC
02/01/23,Instagram,Retargeting,52751,1511,34,"$15,869.24","$4,911.61",West Midlands,CreativeA
02/01/23,SnapChat,Retargeting,26344,185,8,"$13,426.22","$6,869.57",North East,CreativeC
02/01/23,Facebook,Prospecting,22855,820,125,"$6,480.98","$5,150.13",North East,CreativeA
02/01/23,SnapChat,Prospecting,62819,469,143,"$2,630.98",$600.75,South West,CreativeA
02/01/23,YouTube,Prospecting,20318,806,78,"$8,615.05","$6,369.38",North East,CreativeB
02/01/23,TikTok,Prospecting,17726,1787,60,"$1,120.30","$1,280.75",South East,CreativeB
02/01/23,Facebook,Retargeting,65363,157,122,"$8,604.70","$1,531.31",East of England,CreativeA
02/01/23,Facebook,Prospecting,30477,1711,49,"$2,828.40","$3,688.36",South West,CreativeC
02/01/23,YouTube,Retargeting,87248,2827,187,"$3,659.81","$4,340.51",North West,CreativeA
02/01/23,YouTube,Retargeting,86036,1776,161,"$9,437.75","$2,632.14",Northern Ireland,CreativeB
02/01/23,Instagram,Retargeting,5696,1348,224,"$13,538.66",$605.04,North East,CreativeA
02/01/23,TikTok,Prospecting,58860,199,69,"$3,711.66","$7,128.18",Yorkshire and the Humber,CreativeA
02/01/23,TikTok,Retargeting,80770,40,26,"$6,255.10","$1,705.83",South West,CreativeA
02/01/23,SnapChat,Prospecting,5973,326,46,"$9,000.24","$4,364.98",North West,CreativeB
02/01/23,Instagram,Retargeting,102445,1309,232,"$11,776.93","$3,014.94",Scotland,CreativeB
02/01/23,Instagram,Prospecting,35912,1958,119,"$13,700.63","$1,262.23",North West,CreativeA
02/01/23,Instagram,Prospecting,73693,161,49,"$9,348.81","$1,093.03",East Midlands,CreativeC
02/01/23,Instagram,Retargeting,11956,2393,190,"$3,869.86","$3,397.56",North East,CreativeB
02/01/23,TikTok,Retargeting,79165,2989,32,"$5,358.19","$4,322.14",North West,CreativeC
03/01/23,TikTok,Retargeting,24622,95,62,"$12,570.22","$4,292.32",South East,CreativeA
03/01/23,YouTube,Retargeting,9769,1776,202,"$10,145.63","$8,770.62",Scotland,CreativeB
03/01/23,YouTube,Retargeting,74795,576,132,"$1,813.63","$3,694.08",West Midlands,CreativeB
03/01/23,Instagram,Prospecting,115518,1843,120,"$2,482.61","$3,658.01",North West,CreativeC
03/01/23,TikTok,Prospecting,67255,943,26,"$11,873.86","$4,322.98",North West,CreativeB
03/01/23,TikTok,Retargeting,16457,596,221,"$2,310.47","$4,399.47",London,CreativeA
03/01/23,SnapChat,Prospecting,25616,2475,58,"$10,186.85","$3,972.74",Northern Ireland,CreativeC
03/01/23,YouTube,Prospecting,48361,2453,167,"$9,406.30",$898.51,North West,CreativeA
03/01/23,Facebook,Retargeting,37444,65,168,"$6,986.28","$1,397.66",Yorkshire and the Humber,CreativeB
03/01/23,YouTube,Retargeting,32347,2088,48,"$6,394.21",$729.86,West Midlands,CreativeA
03/01/23,YouTube,Prospecting,9986,3163,43,"$2,565.07",$372.17,East of England,CreativeA
03/01/23,SnapChat,Prospecting,3373,1274,17,"$10,210.33","$1,125.78",Yorkshire and the Humber,CreativeA
03/01/23,Facebook,Retargeting,35023,146,29,"$3,338.73","$3,841.36",Northern Ireland,CreativeC
03/01/23,SnapChat,Retargeting,107019,2694,31,"$6,128.69","$5,135.15",West Midlands,CreativeB
03/01/23,Facebook,Prospecting,46971,396,53,"$7,300.18","$7,081.61",Yorkshire and the Humber,CreativeA
03/01/23,Instagram,Retargeting,102550,1346,45,"$12,478.71","$6,939.38",East of England,CreativeA
03/01/23,Facebook,Retargeting,45690,36,156,"$12,929.69","$4,789.54",East of England,CreativeC
03/01/23,SnapChat,Retargeting,66035,165,24,"$10,353.62","$7,137.18",London,CreativeB
03/01/23,YouTube,Prospecting,95964,3697,196,"$2,203.47","$5,476.41",East of England,CreativeB
03/01/23,Facebook,Prospecting,16564,1366,166,"$5,388.93","$2,300.10",North West,CreativeC
03/01/23,Facebook,Retargeting,20083,479,57,"$11,793.40","$4,067.05",South East,CreativeC
03/01/23,TikTok,Prospecting,86911,369,63,"$1,877.83","$7,955.23",London,CreativeC
03/01/23,YouTube,Retargeting,77456,326,209,"$5,356.08","$7,151.55",Northern Ireland,CreativeA
03/01/23,Instagram,Prospecting,51750,2456,11,"$13,231.16","$6,089.64",North East,CreativeB
03/01/23,SnapChat,Prospecting,65837,79,13,"$5,331.22","$5,381.70",West Midlands,CreativeA
03/01/23,Instagram,Prospecting,97151,879,91,"$1,971.46","$5,388.09",West Midlands,CreativeC
03/01/23,YouTube,Retargeting,38326,101,141,"$3,817.90","$3,050.57",East of England,CreativeB
03/01/23,Facebook,Retargeting,79381,844,36,"$12,928.59","$3,754.30",London,CreativeA
03/01/23,Facebook,Retargeting,37229,668,117,"$1,975.32","$1,342.52",North West,CreativeB
03/01/23,YouTube,Prospecting,55070,863,133,"$6,178.14","$3,162.57",South East,CreativeB
03/01/23,Facebook,Retargeting,20879,515,49,"$1,658.44","$3,050.19",Northern Ireland,CreativeB
03/01/23,Facebook,Retargeting,27205,44,33,"$5,935.38","$3,868.94",Northern Ireland,CreativeA
03/01/23,Facebook,Retargeting,20648,328,59,"$9,853.55","$2,228.98",Yorkshire and the Humber,CreativeB
03/01/23,SnapChat,Retargeting,98175,215,67,"$13,721.46","$5,546.17",East of England,CreativeB
03/01/23,SnapChat,Prospecting,108783,1854,16,"$10,338.72","$2,649.59",West Midlands,CreativeA
03/01/23,TikTok,Retargeting,88712,958,177,"$12,758.16",$126.91,London,CreativeB
03/01/23,Instagram,Retargeting,10066,1038,31,"$7,711.35","$3,134.60",West Midlands,CreativeC
03/01/23,YouTube,Prospecting,92631,1759,15,"$7,868.82",$812.34,East of England,CreativeA
03/01/23,YouTube,Retargeting,60247,1486,74,"$6,789.17","$3,186.75",Wales,CreativeB
03/01/23,YouTube,Prospecting,76962,47,151,"$3,927.81","$6,977.91",Yorkshire and the Humber,CreativeC
03/01/23,TikTok,Prospecting,66738,2477,11,"$8,956.25","$6,123.38",Yorkshire and the Humber,CreativeB
03/01/23,SnapChat,Prospecting,46035,690,209,"$12,857.11","$3,225.26",North West,CreativeA
03/01/23,TikTok,Retargeting,72412,1079,171,"$9,627.86","$1,672.74",London,CreativeA
03/01/23,YouTube,Prospecting,26511,3882,25,"$6,595.16","$2,933.02",East of England,CreativeA
03/01/23,Instagram,Prospecting,71534,616,67,"$14,462.54","$1,432.75",London,CreativeC
03/01/23,Facebook,Prospecting,32179,1033,33,"$13,234.20","$1,371.82",West Midlands,CreativeC
03/01/23,SnapChat,Retargeting,29033,1984,31,"$10,865.79","$2,281.71",South East,CreativeA
03/01/23,SnapChat,Prospecting,104147,3248,200,"$9,621.51","$3,686.53",East Midlands,CreativeC
03/01/23,TikTok,Prospecting,48842,956,29,"$11,458.02","$3,498.11",West Midlands,CreativeA
03/01/23,SnapChat,Prospecting,66505,2043,217,"$6,254.32","$2,448.66",Yorkshire and the Humber,CreativeB
03/01/23,YouTube,Retargeting,68975,1160,39,"$1,372.20",$401.74,Northern Ireland,CreativeA
03/01/23,YouTube,Prospecting,94499,398,10,"$3,068.70","$2,065.44",South East,CreativeC
03/01/23,TikTok,Prospecting,9917,270,74,"$10,952.43","$2,946.60",Wales,CreativeB
03/01/23,YouTube,Retargeting,23470,2509,33,"$4,136.78",$601.86,South West,CreativeA
03/01/23,Instagram,Retargeting,65971,1009,63,"$13,315.84","$3,179.22",South East,CreativeC
03/01/23,TikTok,Retargeting,84354,1390,42,"$6,946.06","$8,769.64",Wales,CreativeC
03/01/23,Instagram,Prospecting,58804,708,20,"$7,779.73",$955.74,Scotland,CreativeC
03/01/23,Facebook,Prospecting,74308,514,247,"$1,608.34",$491.82,Yorkshire and the Humber,CreativeB
03/01/23,Instagram,Prospecting,89912,1435,92,"$8,159.47","$2,700.19",London,CreativeA
03/01/23,Facebook,Prospecting,24526,1618,62,"$2,857.30","$2,314.07",East of England,CreativeA
04/01/23,Facebook,Retargeting,41667,859,117,"$6,466.99","$3,801.55",North West,CreativeB
04/01/23,Instagram,Retargeting,50042,1981,265,"$13,916.96","$1,141.05",North East,CreativeC
04/01/23,TikTok,Retargeting,57013,1228,65,"$11,065.78","$3,862.19",Northern Ireland,CreativeB
04/01/23,SnapChat,Prospecting,28289,3025,38,"$13,464.72","$2,078.59",East of England,CreativeA
04/01/23,Instagram,Prospecting,68329,2281,76,"$13,990.98","$3,378.27",South East,CreativeC
04/01/23,Facebook,Prospecting,67094,72,52,"$1,379.50","$6,405.17",West Midlands,CreativeC
04/01/23,Instagram,Prospecting,74754,581,130,"$7,186.91",$592.56,North East,CreativeC
04/01/23,YouTube,Retargeting,44252,1346,42,"$4,143.80","$3,562.17",Yorkshire and the Humber,CreativeB
04/01/23,Facebook,Retargeting,40734,374,118,"$2,571.55","$5,383.91",Scotland,CreativeB
04/01/23,TikTok,Prospecting,88350,27,32,"$10,296.58","$5,856.70",London,CreativeC
04/01/23,SnapChat,Retargeting,24639,2300,211,"$5,691.72","$2,978.44",Northern Ireland,CreativeA
04/01/23,Instagram,Retargeting,110460,1278,160,"$10,507.09","$1,521.89",North West,CreativeB
04/01/23,Facebook,Retargeting,2797,1073,23,"$13,678.13","$7,978.45",East Midlands,CreativeA
04/01/23,YouTube,Prospecting,31985,1930,9,"$1,141.40","$1,139.55",East Midlands,CreativeB
04/01/23,Facebook,Retargeting,69186,1133,51,"$2,525.72","$2,063.61",Yorkshire and the Humber,CreativeB
04/01/23,YouTube,Retargeting,22434,2174,40,"$6,126.75",$509.93,Wales,CreativeA
04/01/23,TikTok,Retargeting,35260,2648,12,"$1,717.17","$1,850.98",Scotland,CreativeA
04/01/23,SnapChat,Retargeting,37741,32,71,"$9,993.20","$6,774.95",East of England,CreativeC
04/01/23,TikTok,Retargeting,69666,845,279,"$9,046.88",$926.03,Wales,CreativeC
04/01/23,Instagram,Prospecting,17268,992,62,"$11,388.00","$1,926.90",North West,CreativeA
04/01/23,Facebook,Retargeting,62146,1457,111,"$6,858.05","$1,234.46",London,CreativeC
04/01/23,YouTube,Retargeting,49577,139,42,"$8,957.75","$4,267.22",East Midlands,CreativeC
04/01/23,YouTube,Prospecting,90643,340,96,"$2,630.99","$1,017.90",London,CreativeA
04/01/23,Facebook,Retargeting,42346,1210,91,"$10,142.46","$3,273.77",East Midlands,CreativeB
04/01/23,Facebook,Prospecting,13183,247,16,"$9,139.46","$6,337.79",Northern Ireland,CreativeC
04/01/23,Instagram,Prospecting,93263,847,183,$852.93,"$2,249.89",London,CreativeB
04/01/23,TikTok,Prospecting,76979,2221,93,"$4,098.65","$2,863.12",West Midlands,CreativeC
04/01/23,YouTube,Prospecting,29224,964,194,"$9,539.52","$1,799.70",South West,CreativeC
04/01/23,Instagram,Retargeting,61621,2144,48,"$13,683.32","$3,216.42",London,CreativeB
04/01/23,TikTok,Retargeting,69161,2275,27,"$5,792.68","$4,257.31",South East,CreativeA
04/01/23,Instagram,Prospecting,20608,216,133,"$2,437.27","$2,411.37",South West,CreativeC
04/01/23,YouTube,Retargeting,77408,774,54,"$11,565.96","$1,564.52",North East,CreativeC
04/01/23,Facebook,Prospecting,32640,903,16,"$1,179.80","$7,805.64",North East,CreativeA
04/01/23,Facebook,Retargeting,78786,603,143,"$9,075.19","$1,112.26",West Midlands,CreativeA
04/01/23,TikTok,Retargeting,25582,1528,237,"$10,107.28",$900.31,North West,CreativeC
04/01/23,SnapChat,Prospecting,26078,3498,35,"$7,390.04","$2,845.72",West Midlands,CreativeA
04/01/23,TikTok,Retargeting,64102,639,200,"$5,123.30",$978.14,South East,CreativeB
04/01/23,SnapChat,Prospecting,15239,410,174,"$7,570.38",$747.67,East Midlands,CreativeB
04/01/23,Instagram,Retargeting,5617,1120,27,"$4,653.83","$2,284.45",Scotland,CreativeA
04/01/23,Instagram,Retargeting,27136,1841,218,"$1,231.95","$3,156.60",South East,CreativeC
04/01/23,YouTube,Retargeting,20879,1608,52,"$10,580.36",$943.54,London,CreativeC
04/01/23,SnapChat,Prospecting,7786,105,74,"$6,073.53","$7,896.37",North East,CreativeC
04/01/23,YouTube,Prospecting,46461,189,33,"$10,667.68",$134.73,East Midlands,CreativeB
04/01/23,Facebook,Prospecting,78314,1504,153,"$4,910.79","$4,446.32",Wales,CreativeB
04/01/23,SnapChat,Retargeting,58645,1450,227,"$3,289.28","$2,901.91",East Midlands,CreativeB
04/01/23,TikTok,Prospecting,26047,332,294,"$12,924.65","$3,132.19",South East,CreativeA
04/01/23,Facebook,Prospecting,1933,1078,209,"$12,016.48",$956.30,Yorkshire and the Humber,CreativeC
04/01/23,Facebook,Prospecting,68822,313,91,"$11,880.68","$3,172.42",North West,CreativeA
04/01/23,TikTok,Retargeting,23783,1603,20,"$7,142.47",$600.14,West Midlands,CreativeC
04/01/23,Facebook,Retargeting,7606,353,151,"$3,878.33","$7,130.18",West Midlands,CreativeA
04/01/23,SnapChat,Retargeting,67746,2838,130,"$1,516.46","$2,302.05",East Midlands,CreativeC
04/01/23,YouTube,Retargeting,14573,396,135,"$2,998.16","$3,273.06",South East,CreativeA
04/01/23,Facebook,Prospecting,47881,530,26,"$13,626.69",$883.33,East Midlands,CreativeA
04/01/23,SnapChat,Retargeting,32668,1634,67,"$13,396.08","$3,675.78",London,CreativeC
04/01/23,Instagram,Prospecting,52174,1155,242,"$8,440.57","$1,026.65",South East,CreativeB
04/01/23,SnapChat,Retargeting,68743,1966,156,"$8,922.63","$3,412.87",North East,CreativeB
04/01/23,YouTube,Prospecting,19318,1281,45,"$11,032.04","$7,106.45",South East,CreativeC
04/01/23,SnapChat,Prospecting,43691,1037,61,"$3,108.13","$3,611.83",Wales,CreativeB
04/01/23,TikTok,Retargeting,63792,825,63,"$10,684.04","$5,434.31",Scotland,CreativeA
04/01/23,YouTube,Prospecting,97528,1494,165,"$11,818.79","$1,458.94",Yorkshire and the Humber,CreativeC
05/01/23,Instagram,Retargeting,32184,1514,248,"$2,715.72","$2,159.23",Yorkshire and the Humber,CreativeC
05/01/23,SnapChat,Retargeting,73560,2813,37,"$7,557.93","$2,278.47",West Midlands,CreativeC
05/01/23,SnapChat,Retargeting,40768,156,38,"$10,827.99","$2,493.47",East of England,CreativeB
05/01/23,Facebook,Retargeting,77154,10,217,"$11,663.70","$3,030.95",South East,CreativeB
05/01/23,SnapChat,Prospecting,55537,341,175,"$10,532.85","$3,755.50",London,CreativeB
05/01/23,YouTube,Prospecting,14445,1343,91,"$9,283.65","$6,638.40",Northern Ireland,CreativeB
05/01/23,YouTube,Retargeting,2867,1819,139,"$6,524.71","$7,376.77",Northern Ireland,CreativeA
05/01/23,Facebook,Retargeting,76094,1565,52,"$12,425.38","$5,037.82",East of England,CreativeB
05/01/23,Instagram,Prospecting,107801,1922,220,"$9,885.75","$2,553.28",Wales,CreativeC
05/01/23,Instagram,Retargeting,80436,1378,48,"$15,289.85","$3,276.11",Yorkshire and the Humber,CreativeC
05/01/23,SnapChat,Retargeting,6206,3077,121,"$4,597.10","$3,166.90",London,CreativeC
05/01/23,SnapChat,Retargeting,10287,1943,47,"$11,833.48","$5,064.62",Wales,CreativeB
05/01/23,SnapChat,Retargeting,3340,1072,178,"$8,842.44","$7,542.92",East Midlands,CreativeC
05/01/23,Instagram,Retargeting,78110,93,64,"$12,376.26","$4,569.26",Scotland,CreativeA
05/01/23,TikTok,Prospecting,14150,2864,131,"$5,969.43","$2,979.94",North East,CreativeB
05/01/23,YouTube,Retargeting,49324,1179,65,"$8,704.42","$8,772.96",London,CreativeB
05/01/23,TikTok,Retargeting,15467,1394,57,"$10,171.74",$878.30,West Midlands,CreativeA
05/01/23,TikTok,Retargeting,54077,2573,158,"$8,927.40","$1,786.62",North West,CreativeB
05/01/23,Instagram,Prospecting,105604,510,206,"$10,408.28","$6,764.51",North East,CreativeC
05/01/23,TikTok,Retargeting,83238,637,161,"$11,133.14","$1,980.41",East Midlands,CreativeB
05/01/23,Facebook,Retargeting,47918,301,77,"$14,131.99","$7,653.58",Yorkshire and the Humber,CreativeA
05/01/23,SnapChat,Prospecting,3609,3221,40,"$12,633.02","$2,906.25",Northern Ireland,CreativeC
05/01/23,Facebook,Prospecting,77785,151,42,"$1,929.96","$2,633.63",Yorkshire and the Humber,CreativeA
05/01/23,YouTube,Prospecting,43828,334,53,"$7,086.47","$1,866.02",West Midlands,CreativeA
05/01/23,SnapChat,Prospecting,2861,296,197,"$2,136.51","$2,496.99",Yorkshire and the Humber,CreativeB
05/01/23,TikTok,Retargeting,41208,8,54,"$8,682.43",$762.14,North West,CreativeA
05/01/23,YouTube,Retargeting,2299,184,25,"$2,599.06","$2,905.05",West Midlands,CreativeC
05/01/23,SnapChat,Retargeting,64959,169,138,"$9,389.21","$1,265.87",West Midlands,CreativeA
05/01/23,TikTok,Prospecting,14215,2372,74,"$11,787.09","$4,376.51",Northern Ireland,CreativeC
05/01/23,Facebook,Retargeting,77347,793,139,"$7,289.71","$1,595.50",East of England,CreativeC
05/01/23,SnapChat,Prospecting,105874,2325,88,"$13,443.18","$2,350.11",East of England,CreativeC
05/01/23,TikTok,Prospecting,48887,1496,60,"$7,344.74","$2,491.17",South West,CreativeA
05/01/23,Facebook,Retargeting,13621,1711,10,"$10,417.97","$4,850.57",South West,CreativeC
05/01/23,YouTube,Prospecting,97633,3134,160,"$11,095.99","$3,953.87",East Midlands,CreativeB
